01.01.2018,None,None 
01.02.2018,None,None 
01.03.2018,None,None 
01.04.2018,None,None 
01.05.2018,None,None 
01.06.2018,None,None 
01.07.2018,None,None 
01.08.2018,None,None 
01.09.2018,None,None 
01.10.2018,None,None 
01.11.2018,None,None 
01.12.2018,None,None 
01.13.2018,None,None 
01.14.2018,None,None 
01.15.2018,None,None 
01.16.2018,None,None 
01.17.2018,None,None 
01.18.2018,None,None 
01.19.2018,None,None 
01.20.2018,None,None 
01.21.2018,None,None 
01.22.2018,None,None 
01.23.2018,None,None 
01.24.2018,None,None 
01.25.2018,None,None 
01.26.2018,None,None 
01.27.2018,None,None 
01.28.2018,None,None 
01.29.2018,None,None 
01.30.2018,None,None 
01.31.2018,None,None 
02.01.2018,None,None 
02.02.2018,None,None 
02.03.2018,None,None 
02.04.2018,None,None 
02.05.2018,None,None 
02.06.2018,None,None 
02.07.2018,None,None 
02.08.2018,None,None 
02.09.2018,None,None 
02.10.2018,None,None 
02.11.2018,None,None 
02.12.2018,None,None 
02.13.2018,None,None 
02.14.2018,None,None 
02.15.2018,None,None 
02.16.2018,None,None 
02.17.2018,None,None 
02.18.2018,None,None 
02.19.2018,None,None 
02.20.2018,None,None 
02.21.2018,None,None 
02.22.2018,None,None 
02.23.2018,None,None 
02.24.2018,None,None 
02.25.2018,None,None 
02.26.2018,None,None 
02.27.2018,None,None 
02.28.2018,None,None 
03.01.2018,None,None 
03.02.2018,None,None 
03.03.2018,None,None 
03.04.2018,None,None 
03.05.2018,None,None 
03.06.2018,None,None 
03.07.2018,None,None 
03.08.2018,None,None 
03.09.2018,None,None 
03.10.2018,None,None 
03.11.2018,None,None 
03.12.2018,None,None 
03.13.2018,None,None 
03.14.2018,None,None 
03.15.2018,None,None 
03.16.2018,None,None 
03.17.2018,None,None 
03.18.2018,None,None 
03.19.2018,None,None 
03.20.2018,None,None 
03.21.2018,None,None 
03.22.2018,None,None 
03.23.2018,None,None 
03.24.2018,None,None 
03.25.2018,None,None 
03.26.2018,None,None 
03.27.2018,None,None 
03.28.2018,None,None 
03.29.2018,None,None 
03.30.2018,None,None 
03.31.2018,None,None 
04.01.2018,None,None 
04.02.2018,None,None 
04.03.2018,None,None 
04.04.2018,None,None 
04.05.2018,None,None 
04.06.2018,None,None 
04.07.2018,None,None 
04.08.2018,None,None 
04.09.2018,None,None 
04.10.2018,None,None 
04.11.2018,None,None 
04.12.2018,None,None 
04.13.2018,None,None 
04.14.2018,None,None 
04.15.2018,None,None 
04.16.2018,None,None 
04.17.2018,None,None 
04.18.2018,None,None 
04.19.2018,None,None 
04.20.2018,None,None 
04.21.2018,None,None 
04.22.2018,None,None 
04.23.2018,None,None 
04.24.2018,None,None 
04.25.2018,None,None 
04.26.2018,None,None 
04.27.2018,None,None 
04.28.2018,None,None 
04.29.2018,None,None 
04.30.2018,None,None 
05.01.2018,None,None 
05.02.2018,None,None 
05.03.2018,None,None 
05.04.2018,None,None 
05.05.2018,None,None 
05.06.2018,None,None 
05.07.2018,None,None 
05.08.2018,None,None 
05.09.2018,None,None 
05.10.2018,None,None 
05.11.2018,None,None 
05.12.2018,None,None 
05.13.2018,None,None 
05.14.2018,None,None 
05.15.2018,None,None 
05.16.2018,None,None 
05.17.2018,None,None 
05.18.2018,None,None 
05.19.2018,None,None 
05.20.2018,None,None 
05.21.2018,None,None 
05.22.2018,None,None 
05.23.2018,None,None 
05.24.2018,None,None 
05.25.2018,None,None 
05.26.2018,None,None 
05.27.2018,None,None 
05.28.2018,None,None 
05.29.2018,None,None 
05.30.2018,None,None 
05.31.2018,None,None 
06.01.2018,None,None 
06.02.2018,None,None 
06.03.2018,None,None 
06.04.2018,None,None 
06.05.2018,None,None 
06.06.2018,None,None 
06.07.2018,None,None 
06.08.2018,None,None 
06.09.2018,None,None 
06.10.2018,None,None 
06.11.2018,None,None 
06.12.2018,None,None 
06.13.2018,None,None 
06.14.2018,None,None 
06.15.2018,None,None 
06.16.2018,None,None 
06.17.2018,None,None 
06.18.2018,None,None 
06.19.2018,None,None 
06.20.2018,None,None 
06.21.2018,None,None 
06.22.2018,None,None 
06.23.2018,None,None 
06.24.2018,None,None 
06.25.2018,None,None 
06.26.2018,None,None 
06.27.2018,None,None 
06.28.2018,None,None 
06.29.2018,None,None 
